,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,max_cite,pub_div,recent_3,academic_age,h_index,Category_Computer Science,Category_Economics and Business,Country_Australia,Country_Canada,Country_ChinaMainland,Country_Cyprus,Country_Denmark,Country_Finland,Country_France,Country_Germany,Country_HongKong,Country_Italy,Country_Japan,Country_Luxembourg,Country_Netherlands,Country_Portugal,Country_Qatar,Country_SaudiArabia,Country_Singapore,Country_SouthKorea,Country_Spain,Country_Sweden,Country_Switzerland,Country_Taiwan,Country_UnitedArabEmirates,Country_UnitedKingdom,Country_UnitedStates
39,-0.37867695834317316,1.1063839996763005,0.5464420345535658,0.008351525814299142,-0.5196491250093092,0.0679117031838418,-0.21579383091950022,-0.024998578461985277,-0.46731390590047045,0.30497909780967447,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,-0.6101811005460933,-0.10467185767791795,-0.22774372858004954,-0.5493926414540443,-0.7387244454253298,0.8530372473092325,0.12323170522955441,-0.6326563318456254,-0.5224493860241352,0.0892177659264122,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,-0.6317881538183658,-0.45322113245292656,-0.5422566948530807,0.6817255814187626,-0.5926742318146494,-0.32465106887885353,-0.4845283583094588,-0.5870820003418524,-0.4948816459623028,-1.0974695594315302,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,-0.5484466626253146,-0.35844018931235405,-0.5180633897551553,-0.5595952786601726,-0.7022118920226597,-0.32465106887885353,0.02165262549842174,-0.46555044966512443,-0.4948816459623028,2.2468310847590347,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,-0.7027827574272614,-0.368937433552654,-0.5422566948530807,-0.6514190135153267,-0.8482621056333401,-0.32465106887885353,-0.43738194999543095,-0.7693793263569445,-0.6878558263951293,-0.7738275616066368,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,-0.6163545443381712,-1.0145689118274142,-0.5422566948530807,-0.3555425345376079,-0.9577997658413505,-0.32465106887885353,-0.6521124096802304,-0.6630392195148075,-0.7154235664569617,1.7074277550508792,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,-0.6780889822589499,-0.023445608556373544,-0.5422566948530807,-0.7432427483704809,-0.81174955223067,-0.32465106887885353,0.4433986780529979,-0.8301451016953085,-0.6327203462714646,2.570473082583928,43,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-0.5268396093530421,0.7704721839867017,-0.5422566948530807,-0.39635308336212083,-1.103849979452031,-0.32465106887885353,2.610847649362441,-0.4351675619959424,-0.357042945653141,2.3547117507006656,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,-0.20273381026895387,1.2535492490257487,0.5706353396514913,-0.4439653903240526,-0.3370863579959586,3.6009766517481,0.1395186462834913,0.14210730371851577,-0.5500171260859675,2.462592416642297,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,-0.770690639140118,-0.3890146870996355,-0.5180633897551553,-0.8248638460195067,-0.7022118920226597,-0.32465106887885353,0.07179925979606952,-1.0580167592141736,-0.6878558263951293,1.0601437594010923,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,-0.6379615976104438,0.471453595627089,-0.5422566948530807,-0.5527935205227538,-0.3370863579959586,-0.32465106887885353,2.303967391609314,-0.3895932304921694,-0.38461068571497337,-1.2053502253731614,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
50,-0.22742758543726535,1.3469033822695813,-0.5422566948530807,-0.21270561365181262,-0.3370863579959586,-0.32465106887885353,-0.09707060271053923,0.08134152838015175,-0.39839455574588956,2.3547117507006656,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,-0.8632922960212861,-0.9893959086492191,-0.5422566948530807,-0.8044585716072502,-0.9577997658413505,-0.32465106887885353,-0.5265315220801381,-1.1187825345525375,-0.7154235664569617,-1.4211115572564235,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,-0.8478586865410914,-0.892882410634034,-0.34871025406967693,-0.8418682413630537,-0.8482621056333401,-0.32465106887885353,-0.19093481562664918,-0.9972509838758096,-0.7154235664569617,-0.7738275616066368,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,-0.6348748757144048,0.5249589667548316,0.44966881416186383,-0.4371636321866338,-0.7752369988279999,0.8530372473092325,0.3748220841416847,-0.7693793263569445,-0.5638009961168837,0.30497909780967447,56,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,-0.5638802721055093,0.3837047869775912,-0.5422566948530807,-0.5663970367975915,-0.7022118920226597,-0.32465106887885353,-0.020779141984203303,-0.5718905565072614,-0.6189364762405484,1.599547089109248,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,-0.5206661655609642,-0.2901571442540921,0.2803156784763855,-0.5663970367975915,-0.6656993386199895,2.423288335560014,0.025938662617878815,-0.6782306633493985,-0.6327203462714646,1.1680244253427234,55,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,-0.6410483195064827,-0.5815321081668844,1.00611483141415,-0.7806524181262844,-0.9577997658413505,-0.32465106887885353,-0.10521407323750767,-0.7389964386877625,-0.6051526062096322,-0.12654356595685004,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
