First Name,Last Name,ID,Documents,Cited By,Preprints,Coauthor,Topics,Awarded Grants,Category,Primary Affiliation,Secondary Affiliations
Jose M.,Merigo,23482135100,387,4816,1,297,46,0,Computer Science,"University of Technology Sydney, Australia","Universidad de Chile, Chile"
Seyedali,Mirjalili,51461922300,327,19206,12,493,42,0,Computer Science,"Torrens University Australia, Australia","Griffith University, Australia"
Andreas F.,Molisch,7006594890,657,23467,72,675,34,16,Computer Science,"University of Southern California, United States",
Derrick Wing Kwan,Ng,35756277000,311,8054,53,343,37,0,Computer Science,"University of New South Wales Sydney, Australia",
Hung,Nguyen-Xuan,24503383800,267,5404,5,230,37,0,Computer Science,"China Medical University Taiwan, Taiwan","HUTECH University of Technology, Vietnam"
Dusit,Niyato,8919714700,778,22940,197,716,92,0,Computer Science,"Nanyang Technological University, Singapore","Nanyang Technological University & National Institute of Education (NIE) Singapore, Singapore"
Kaoru,Ota,23467341400,262,5604,3,315,74,0,Computer Science,"Muroran Institute of Technology, Japan",
Ju H.,Park,15036553900,694,14111,0,328,54,0,Computer Science,"Yeungnam University, South Korea",
Mugen,Peng,7202484665,485,7610,17,417,34,0,Computer Science,"Beijing University of Posts & Telecommunications, China Mainland",
H. Vincent,Poor,55665272100,2096,51308,328,1393,100,13,Computer Science,"Princeton University, United States",
Tony Q. S.,Quek,55362784200,593,10288,91,551,82,0,Computer Science,"Singapore University of Technology & Design, Singapore",
Timon,Rabczuk,56502462200,677,14683,94,655,100,0,Computer Science,"King Saud University, Saudi Arabia",
Kui,Ren,8396435500,363,15052,33,555,67,7,Computer Science,"Zhejiang University, China Mainland",
Robert,Schober,7004473639,895,19960,184,503,47,0,Computer Science,"University of Erlangen Nuremberg, Germany",
Michael A.,Scott,9942259800,55,2987,4,85,0,0,Computer Science,"Brigham Young University, United States",
Ling,Shao,55643855000,637,15757,181,1118,85,0,Computer Science,"Inception Institute of Artificial Intelligence, United Arab Emirates",
Jian,Shen,55964982500,280,4785,0,353,73,0,Computer Science,"Nanjing University of Information Science & Technology, China Mainland",
Xuemin (Sherman),Shen,7402721166,1461,33555,49,897,100,0,Computer Science,"University of Waterloo, Canada",
Peng,Shi,36748941200,1417,31784,2,840,100,0,Computer Science,"University of Adelaide, Australia","Victoria University, Australia"
Hongye,Su,7401459370,865,12124,1,504,79,0,Computer Science,"Zhejiang University, China Mainland",
P. N.,Suganthan,7003996538,460,23431,15,368,36,0,Computer Science,"Nanyang Technological University, Singapore","Nanyang Technological University & National Institute of Education (NIE) Singapore, Singapore"
Xingming,Sun,8439524300,389,7371,3,447,50,0,Computer Science,"Nanjing University of Information Science & Technology, China Mainland",
Dacheng,Tao,7102600334,870,33928,0,1313,100,0,Computer Science,"University of Sydney, Australia",
Shaocheng,Tong,56496204400,481,12142,0,201,15,0,Computer Science,"Liaoning University of Technology, China Mainland",
Athanasios V.,Vasilakos,57200495061,801,29258,17,1571,100,0,Computer Science,"University of Technology Sydney, Australia","King Saud University, Saudi Arabia"
Jiafu,Wan,24333732700,189,9060,4,260,55,0,Computer Science,"South China University of Technology, China Mainland",
Cheng-Xiang,Wang,9941461600,433,9364,42,557,62,0,Computer Science,"Southeast University - China, China Mainland","Heriot Watt University, United Kingdom"
Jian-Qiang,Wang,56132836000,328,5308,0,158,26,0,Computer Science,"Central South University, China Mainland",
Jing,Wang,56008058700,145,1685,0,96,19,1,Computer Science,"Central South University, China Mainland","Central South University of Forestry & Technology, China Mainland"
Zidong,Wang,55810114200,824,21800,0,347,65,0,Computer Science,"Brunel University, United Kingdom",
