作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Xia, M.","27968229400;","Choquet-Integral-Based Data Envelopment Analysis with Stochastic Multicriteria Acceptability Analysis",2022,"Symmetry","14","4","642","","",,,"10.3390/sym14040642","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127609020&doi=10.3390%2fsym14040642&partnerID=40&md5=08e06bf112dcb2bcbcd88224b3ae5ef3",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85127609020
"Chen, L., Xia, M.","57221566452;27968229400;","A context-aware recommendation approach based on feature selection",2021,"Applied Intelligence","51","2",,"865","875",,7,"10.1007/s10489-020-01835-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090301728&doi=10.1007%2fs10489-020-01835-9&partnerID=40&md5=88342ba5919c887239058ad4276c4f88",Article,"Final","",Scopus,2-s2.0-85090301728
"Chen, L., Xia, M.","57221566452;27968229400;","A restaurant recommendation approach with the contextual information",2021,"Journal of Intelligent and Fuzzy Systems","40","3",,"4481","4489",,,"10.3233/JIFS-201299","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102406659&doi=10.3233%2fJIFS-201299&partnerID=40&md5=e0592cd84a7f471eebc60b5bc72748a3",Article,"Final","",Scopus,2-s2.0-85102406659
"Xia, M.","27968229400;","Multi-Criteria Decision Making Analysis Based on Target-Oriented OWA Operator",2020,"International Journal of Uncertainty, Fuzziness and Knowlege-Based Systems","28","6",,"911","938",,1,"10.1142/S0218488520500403","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097242975&doi=10.1142%2fS0218488520500403&partnerID=40&md5=c96093b28a3bfa607a69c73131c6542e",Article,"Final","",Scopus,2-s2.0-85097242975
"Xia, M., Chen, J., Zeng, X.-J.","27968229400;55917143500;7403248390;","Group decision making using bilateral agreement matrix",2020,"Fuzzy Sets and Systems","398",,,"34","60",,,"10.1016/j.fss.2019.07.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069966414&doi=10.1016%2fj.fss.2019.07.009&partnerID=40&md5=78e06696c24bcfaa95c90d01337dfc03",Article,"Final","",Scopus,2-s2.0-85069966414
"Yang, N., Xia, M.","57217479984;27968229400;","Bibliometric analysis of smart logistics research based on citespace: From 2010 to 2019",2020,"Conference Proceedings of the 8th International Symposium on Project Management, ISPM 2020",,,,"1088","1094",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091942453&partnerID=40&md5=9dccbe98c7de6834df6f3b509a2e2564",Conference Paper,"Final","",Scopus,2-s2.0-85091942453
"Seikh, M.R., Karmakar, S., Xia, M.","55363484300;57194067327;27968229400;","Solving matrix games with hesitant fuzzy pay-offs",2020,"Iranian Journal of Fuzzy Systems","17","4",,"25","40",,12,"10.22111/ijfs.2020.5404","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085598273&doi=10.22111%2fijfs.2020.5404&partnerID=40&md5=437b207acc41a1bde65a747c0766520f",Article,"Final","",Scopus,2-s2.0-85085598273
"Xia, M., Chen, J., Zeng, X.-J.","27968229400;55917143500;7403248390;","Data envelopment analysis based on team reasoning",2020,"International Transactions in Operational Research","27","2",,"1080","1100",,3,"10.1111/itor.12447","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073543462&doi=10.1111%2fitor.12447&partnerID=40&md5=9ba38001d057f577e9f03ea598c962a9",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85073543462
"Xia, M.","27968229400;","Methods for solving matrix games with cross-evaluated payoffs",2019,"Soft Computing","23","21",,"11123","11140",,6,"10.1007/s00500-018-3664-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058020559&doi=10.1007%2fs00500-018-3664-1&partnerID=40&md5=8cbc8d12f1e955c102436ab66ac57e17",Article,"Final","",Scopus,2-s2.0-85058020559
"Cui, X., Xia, M.","57204177920;27968229400;","Strategic manipulation in multiple attribute decision making with interval evaluation",2018,"5th International Conference on Industrial Economics System and Industrial Security Engineering, IEIS 2018 - Proceeding",,,"8598080","","",,1,"10.1109/IEIS.2018.8598080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061842367&doi=10.1109%2fIEIS.2018.8598080&partnerID=40&md5=ef61ad792d8d71449920c0379f60d079",Conference Paper,"Final","",Scopus,2-s2.0-85061842367
