作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Pennycook, G., Rand, D.G.","50061672800;23095594600;","Accuracy prompts are a replicable and generalizable approach for reducing the spread of misinformation",2022,"Nature Communications","13","1","2333","","",,,"10.1038/s41467-022-30073-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128960259&doi=10.1038%2fs41467-022-30073-5&partnerID=40&md5=6847b694f8d49ddc6ab60b0796294836",Article,"Final","",Scopus,2-s2.0-85128960259
"Arechar, A.A., Rand, D.G.","57193423813;23095594600;","Learning to be selfish? A large-scale longitudinal analysis of Dictator games played on Amazon Mechanical Turk",2022,"Journal of Economic Psychology","90",,"102490","","",,2,"10.1016/j.joep.2022.102490","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124550966&doi=10.1016%2fj.joep.2022.102490&partnerID=40&md5=efc60362d23c0e9535e81ce4ad2a0036",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85124550966
"Pennycook, G., McPhetres, J., Bago, B., Rand, D.G.","50061672800;57191412453;55314391300;23095594600;","Beliefs About COVID-19 in Canada, the United Kingdom, and the United States: A Novel Test of Political Polarization and Motivated Reasoning",2022,"Personality and Social Psychology Bulletin","48","5",,"750","765",,12,"10.1177/01461672211023652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108972538&doi=10.1177%2f01461672211023652&partnerID=40&md5=b08f55ab5bdc2f0b6b9761e562ae3bba",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85108972538
"Pennycook, G., Rand, D.G.","50061672800;23095594600;","Nudging Social Media toward Accuracy",2022,"Annals of the American Academy of Political and Social Science","700","1",,"152","164",,,"10.1177/00027162221092342","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129716264&doi=10.1177%2f00027162221092342&partnerID=40&md5=d2568c107501423e5acb1cf6a8ceb51d",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85129716264
"Palacios, J., Fan, Y., Yoeli, E., Wang, J., Chai, Y., Sun, W., Rand, D.G., Zheng, S.","57210896617;57210943792;55885143400;35977156500;57208649427;55876892700;23095594600;7403146779;","Encouraging the resumption of economic activity after COVID-19: Evidence from a large scale-field experiment in China",2022,"Proceedings of the National Academy of Sciences of the United States of America","119","5","e2100719119","","",,,"10.1073/pnas.2100719119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123719875&doi=10.1073%2fpnas.2100719119&partnerID=40&md5=57ededa5d8d11a22492a3112a98efae3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85123719875
"Mosleh, M., Pennycook, G., Rand, D.G.","36761144000;50061672800;23095594600;","Field Experiments on Social Media",2022,"Current Directions in Psychological Science","31","1",,"69","75",,1,"10.1177/09637214211054761","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120491400&doi=10.1177%2f09637214211054761&partnerID=40&md5=39067862f96f5b83b68343735e6b6015",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85120491400
"Van Lange, P.A.M., Rand, D.G.","7004460194;23095594600;","Human Cooperation and the Crises of Climate Change, COVID-19, and Misinformation",2022,"Annual Review of Psychology","73",,,"379","402",,,"10.1146/annurev-psych-020821-110044","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122679772&doi=10.1146%2fannurev-psych-020821-110044&partnerID=40&md5=88fa73e13c459dff902094ed725fab5f",Review,"Final","All Open Access, Green",Scopus,2-s2.0-85122679772
"Jordan, J.J., Yoeli, E., Rand, D.G.","56044438100;55885143400;23095594600;","Don’t get it or don’t spread it: comparing self-interested versus prosocial motivations for COVID-19 prevention behaviors",2021,"Scientific Reports","11","1","20222","","",,12,"10.1038/s41598-021-97617-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117164142&doi=10.1038%2fs41598-021-97617-5&partnerID=40&md5=829a955e77fb211c6f4b105eb6356dab",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117164142
"Arechar, A.A., Rand, D.G.","57193423813;23095594600;","Turking in the time of COVID",2021,"Behavior Research Methods","53","6",,"2591","2595",,14,"10.3758/s13428-021-01588-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105445413&doi=10.3758%2fs13428-021-01588-4&partnerID=40&md5=817ba9484c0054c0d54d68233deae762",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85105445413
"Mosleh, M., Pennycook, G., Arechar, A.A., Rand, D.G.","36761144000;50061672800;57193423813;23095594600;","Cognitive reflection correlates with behavior on Twitter",2021,"Nature Communications","12","1","921","","",,21,"10.1038/s41467-020-20043-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101476640&doi=10.1038%2fs41467-020-20043-0&partnerID=40&md5=3c6a5ae729dee455f5624063c837b159",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85101476640
