作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Snihur, Y., Zott, C., Amit, R.","55672559300;6508196211;7004998175;","Managing the value appropriation dilemma in business model innovation",2021,"Strategy Science","6","1",,"22","38",,7,"10.1287/STSC.2020.0113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102939806&doi=10.1287%2fSTSC.2020.0113&partnerID=40&md5=93aed7a56eed5c4f7b6f82785a0a17f4",Article,"Final","",Scopus,2-s2.0-85102939806
"Villalonga, B., Amit, R.","6506527390;7004998175;","Family ownership",2020,"Oxford Review of Economic Policy","36","2",,"241","257",,17,"10.1093/oxrep/graa007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085324615&doi=10.1093%2foxrep%2fgraa007&partnerID=40&md5=420d9160eca8a036f1859dc5cf3ea251",Review,"Final","",Scopus,2-s2.0-85085324615
"Feldman, E.R., Amit, R., Villalonga, B.","55794722300;7004998175;6506527390;","Family firms and the stock market performance of acquisitions and divestitures",2019,"Strategic Management Journal","40","5",,"757","780",,14,"10.1002/smj.2999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061384284&doi=10.1002%2fsmj.2999&partnerID=40&md5=790e6d915d5e8d0f16b4935381ab85c6",Article,"Final","",Scopus,2-s2.0-85061384284
"Amit, R., Han, X.","7004998175;57195930851;","Value Creation through Novel Resource Configurations in a Digitally Enabled World",2017,"Strategic Entrepreneurship Journal","11","3",,"228","242",,115,"10.1002/sej.1256","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030158966&doi=10.1002%2fsej.1256&partnerID=40&md5=6b64918b4bb5b08ab3e7637a5188fc8c",Article,"Final","",Scopus,2-s2.0-85030158966
"Feldman, E.R., Amit, R., Villalonga, B.","55794722300;7004998175;6506527390;","Corporate divestitures and family control",2016,"Strategic Management Journal","37","3",,"429","446",,89,"10.1002/smj.2329","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910605683&doi=10.1002%2fsmj.2329&partnerID=40&md5=f0037cdf6c1d03357e541d2f1741e5d8",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84910605683
"Villalonga, B., Amit, R., Trujillo, M.-A., Guzmán, A.","6506527390;7004998175;55206416700;55207224400;","Governance of Family Firms",2015,"Annual Review of Financial Economics","7",,,"635","654",,67,"10.1146/annurev-financial-110613-034357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949487871&doi=10.1146%2fannurev-financial-110613-034357&partnerID=40&md5=f73c12ed2f12b8d010d2d28b348b37b1",Review,"Final","",Scopus,2-s2.0-84949487871
"Amit, R., Zott, C.","7004998175;6508196211;","Crafting Business Architecture: the Antecedents of Business Model Design",2015,"Strategic Entrepreneurship Journal","9","4",,"331","350",,174,"10.1002/sej.1200","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978159548&doi=10.1002%2fsej.1200&partnerID=40&md5=37895f74e203c307bc13b33f7c0009fc",Article,"Final","",Scopus,2-s2.0-84978159548
"Amit, R., Ding, Y., Villalonga, B., Zhang, H.","7004998175;7404136394;6506527390;53873458900;","The role of institutional development in the prevalence and performance of entrepreneur and family-controlled firms",2015,"Journal of Corporate Finance","31",,,"284","305",,49,"10.1016/j.jcorpfin.2015.01.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928536159&doi=10.1016%2fj.jcorpfin.2015.01.001&partnerID=40&md5=68df1aeb3e96c9199fad6f78ceda24e8",Article,"Final","",Scopus,2-s2.0-84928536159
"Amit, R., Zott, C.","7004998175;6508196211;","Business Models",2015,"International Encyclopedia of the Social &amp; Behavioral Sciences: Second Edition",,,,"33","36",,5,"10.1016/B978-0-08-097086-8.73040-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040462364&doi=10.1016%2fB978-0-08-097086-8.73040-6&partnerID=40&md5=9fa5f0dfd6c3425907f15358d102b379",Book Chapter,"Final","",Scopus,2-s2.0-85040462364
"Amit, R., Villalonga, B.","7004998175;6506527390;","Financial performance of family firms",2014,"The Sage Handbook of Family Business",,,,"157","178",,54,"10.4135/9781446247556.n9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939240431&doi=10.4135%2f9781446247556.n9&partnerID=40&md5=eb3a6e8f1a1baafbf29aa495b9cb2b92",Book Chapter,"Final","",Scopus,2-s2.0-84939240431
