作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Bruton, G.D., Zahra, S.A., Van de Ven, A.H., Hitt, M.A.","6603867202;7003264340;7006753715;8092411400;","Indigenous Theory Uses, Abuses, and Future",2022,"Journal of Management Studies","59","4",,"1057","1073",,9,"10.1111/joms.12755","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113216176&doi=10.1111%2fjoms.12755&partnerID=40&md5=d7925c5e215c696d318ce63645d699ae",Article,"Final","",Scopus,2-s2.0-85113216176
"Hashai, N., Zahra, S.","6508054044;7003264340;","Founder team prior work experience: An asset or a liability for startup growth?",2022,"Strategic Entrepreneurship Journal","16","1",,"155","184",,2,"10.1002/sej.1406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110141205&doi=10.1002%2fsej.1406&partnerID=40&md5=d61e5bad90227109a1a5af8640b8e72f",Article,"Final","",Scopus,2-s2.0-85110141205
"Hashai, N., Zahra, S.A.","6508054044;7003264340;","A double-edged sword? Founder Teams' Prior International Experience and INV International Scale-up",2022,"Journal of World Business","57","2","101309","","",,,"10.1016/j.jwb.2022.101309","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123690657&doi=10.1016%2fj.jwb.2022.101309&partnerID=40&md5=2e572b2ef73bdfcedfb14e2dec467605",Article,"Final","",Scopus,2-s2.0-85123690657
"Bhawe, N., Zahra, S.","25622601600;7003264340;","Decomposing the knowledge structures of absorptive capacity",2022,"Research Handbook on Strategic Entrepreneurship",,,,"8","23",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129908426&partnerID=40&md5=6348c10b7b7d934dffdd71d322b3d9e6",Book Chapter,"Final","",Scopus,2-s2.0-85129908426
"Zahra, S.A., Petricevic, O., Luo, Y.","7003264340;17346582500;57222532676;","Toward an action-based view of dynamic capabilities for international business",2022,"Journal of International Business Studies",,,,"","",,,"10.1057/s41267-021-00487-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124159112&doi=10.1057%2fs41267-021-00487-2&partnerID=40&md5=d07d1036031eb955fb7fbaca7ba45adb",Editorial,"Article in Press","All Open Access, Bronze",Scopus,2-s2.0-85124159112
"Zahra, S.A., Liu, W., Si, S.","7003264340;57215875120;7006049245;","How digital technology promotes entrepreneurship in ecosystems",2022,"Technovation",,,"102457","","",,1,"10.1016/j.technovation.2022.102457","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122921927&doi=10.1016%2fj.technovation.2022.102457&partnerID=40&md5=279a285f0c1d165ac93cf45aadf192e3",Article,"Article in Press","",Scopus,2-s2.0-85122921927
"Zahra, S.A., Hashai, N.","7003264340;6508054044;","The effect of MNEs’ technology startup acquisitions on small open economies’ entrepreneurial ecosystems",2022,"Journal of International Business Policy",,,,"","",,,"10.1057/s42214-021-00128-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122870734&doi=10.1057%2fs42214-021-00128-3&partnerID=40&md5=e467f4a9a7560a79abd25c42b55e09c6",Article,"Article in Press","",Scopus,2-s2.0-85122870734
"Zahra, S.A.","7003264340;","International entrepreneurship by family firms post covid",2022,"Journal of Family Business Strategy",,,"100482","","",,,"10.1016/j.jfbs.2021.100482","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122612956&doi=10.1016%2fj.jfbs.2021.100482&partnerID=40&md5=50e3c06834b1d567dd560f19020d7106",Article,"Article in Press","All Open Access, Bronze",Scopus,2-s2.0-85122612956
"Urbano, D., Turro, A., Wright, M., Zahra, S.","23490718900;55655181600;57226344910;7003264340;","Corporate entrepreneurship: a systematic literature review and future research agenda",2022,"Small Business Economics",,,,"","",,,"10.1007/s11187-021-00590-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122304012&doi=10.1007%2fs11187-021-00590-6&partnerID=40&md5=3dc84938768ae732d32d99a2d0d8ad61",Article,"Article in Press","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85122304012
"Zahra, S.A.","7003264340;","The Resource-Based View, Resourcefulness, and Resource Management in Startup Firms: A Proposed Research Agenda",2021,"Journal of Management","47","7",,"1841","1860",,7,"10.1177/01492063211018505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105986804&doi=10.1177%2f01492063211018505&partnerID=40&md5=532cfeb74e15c78506af8d676b9cd5d2",Article,"Final","",Scopus,2-s2.0-85105986804
"Vanacker, T., Zahra, S.A., Holmes, R.M.","13205591800;7003264340;16177203200;","Corporate entrepreneurship, country institutions and firm financial performance",2021,"Journal of World Business","56","3","101162","","",,8,"10.1016/j.jwb.2020.101162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092478194&doi=10.1016%2fj.jwb.2020.101162&partnerID=40&md5=5e11229493ca64b94746c61ff2864299",Article,"Final","",Scopus,2-s2.0-85092478194
"Bhawe, N., Zahra, S.A., Chao, C., Bruton, G.D.","25622601600;7003264340;57212208873;6603867202;","Protectionist policies and diversity of entrepreneurial types",2021,"Small Business Economics","56","2",,"789","807",,3,"10.1007/s11187-019-00269-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074505337&doi=10.1007%2fs11187-019-00269-z&partnerID=40&md5=6485a83cf2d3e3d18fe8fba5f6175f6f",Article,"Final","",Scopus,2-s2.0-85074505337
"Gong, T., Tang, Y., Zahra, S.","57292002700;57426797200;7003264340;","HOW GLOBAL DIGITALIZATION INFLUENCES THE ATTRACTIVENESS OF A FIRM DIGITAL NAME TO FOREIGN INVESTORS",2021,"81st Annual Meeting of the Academy of Management 2021: Bringing the Manager Back in Management, AoM 2021",,,,"","",,,"10.5465/AMBPP.2021.154","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123503105&doi=10.5465%2fAMBPP.2021.154&partnerID=40&md5=a29a94bfb865e859e282f26f2adfeed2",Conference Paper,"Final","",Scopus,2-s2.0-85123503105
"Zahra, S.A.","7003264340;","Foreword",2021,"Contributions to Management Science",,,,"xi","xii",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114290180&partnerID=40&md5=1c98859fb0a8ab9a0fb3e9d8ed8a3cc8",Editorial,"Final","",Scopus,2-s2.0-85114290180
"Criaco, G., Naldi, L., Zahra, S.A.","55753471300;36061156100;7003264340;","Founders’ Prior Shared International Experience, Time to First Foreign Market Entry, and New Venture Performance",2021,"Journal of Management",,,,"","",,1,"10.1177/01492063211029701","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111911174&doi=10.1177%2f01492063211029701&partnerID=40&md5=e32bdf32691673304d91200f15bf2af7",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85111911174
"Su, Y., Zahra, S.A., Fan, D.","56505903600;7003264340;35239542800;","Stratification, Entrepreneurial Choice and Income Growth: The Moderating Role of Subnational Marketization in an Emerging Economy",2021,"Entrepreneurship: Theory and Practice",,,,"","",,1,"10.1177/1042258721998942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102747178&doi=10.1177%2f1042258721998942&partnerID=40&md5=e3bfb748e8c02cfb26f265422a6f46de",Article,"Article in Press","",Scopus,2-s2.0-85102747178
"Cumming, D.J., Vanacker, T., Zahra, S.A.","54790580000;13205591800;7003264340;","Equity crowdfunding and governance: Toward an integrative model and research agenda",2021,"Academy of Management Perspectives","35","1",,"69","95",,23,"10.5465/AMP.2017.0208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102655600&doi=10.5465%2fAMP.2017.0208&partnerID=40&md5=07ae48fc4ecfdc60d510c29981d13faa",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85102655600
"Zahra, S.A.","7003264340;","International entrepreneurship in the post Covid world",2021,"Journal of World Business","56","1","101143","","",,68,"10.1016/j.jwb.2020.101143","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090976339&doi=10.1016%2fj.jwb.2020.101143&partnerID=40&md5=166660c1d6ce1661ec9daffc5c46af22",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85090976339
"Koch, M., Park, S., Zahra, S.A.","57002119400;57210251842;7003264340;","Career patterns in self-employment and career success",2021,"Journal of Business Venturing","36","1","105998","","",,6,"10.1016/j.jbusvent.2019.105998","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076989253&doi=10.1016%2fj.jbusvent.2019.105998&partnerID=40&md5=43785ac27fb169f49d035f1644eb1c58",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076989253
"Cumming, D.J., Wood, G., Zahra, S.A.","54790580000;10043338900;7003264340;","Human resource management practices in the context of rising right-wing populism",2020,"Human Resource Management Journal","30","4",,"525","536",,17,"10.1111/1748-8583.12269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078865649&doi=10.1111%2f1748-8583.12269&partnerID=40&md5=feeef3f62d1711e81505c0db5063b5b5",Conference Paper,"Final","",Scopus,2-s2.0-85078865649
"Si, S., Zahra, S.A., Wu, X., Jeng, D.J.-F.","7006049245;7003264340;8518275100;57143927100;","Disruptive innovation and entrepreneurship in emerging economics",2020,"Journal of Engineering and Technology Management - JET-M","58",,"101601","","",,10,"10.1016/j.jengtecman.2020.101601","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091744976&doi=10.1016%2fj.jengtecman.2020.101601&partnerID=40&md5=6f4532f5364039bdfefc63b04020b271",Article,"Final","",Scopus,2-s2.0-85091744976
"Zahra, S.A.","7003264340;","Technological capabilities and international expansion: the moderating role of family and non-family firms’ social capital",2020,"Asia Pacific Journal of Management","37","2",,"391","415",,11,"10.1007/s10490-018-9607-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067031905&doi=10.1007%2fs10490-018-9607-7&partnerID=40&md5=001aa3363f9faca0d5c57f600f757609",Article,"Final","",Scopus,2-s2.0-85067031905
"Abdelgawad, S.G., Zahra, S.A.","47761930300;7003264340;","Family Firms’ Religious Identity and Strategic Renewal",2020,"Journal of Business Ethics","163","4",,"775","787",,9,"10.1007/s10551-019-04385-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076907454&doi=10.1007%2fs10551-019-04385-4&partnerID=40&md5=6cd987e45c28ec284ee1973f76fcabe4",Article,"Final","",Scopus,2-s2.0-85076907454
"Kolokas, D., Vanacker, T., Veredas, D., Zahra, S.A.","57219895966;13205591800;11739774000;7003264340;","Venture Capital, Credit, and FinTech Start-Up Formation: A Cross-Country Study",2020,"Entrepreneurship: Theory and Practice",,,,"","",,3,"10.1177/1042258720972652","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095934961&doi=10.1177%2f1042258720972652&partnerID=40&md5=a3784593cbd0603b262a20395363fabc",Article,"Article in Press","",Scopus,2-s2.0-85095934961
"Zahra, S.A., Neubaum, D.O., Hayton, J.","7003264340;6602642757;6602558122;","What do we know about knowledge integration: Fusing micro-and macro-organizational perspectives",2020,"Academy of Management Annals","14","1",,"160","194",,33,"10.5465/annals.2017.0093","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078246253&doi=10.5465%2fannals.2017.0093&partnerID=40&md5=ae306a7676b1b01397512f7386ab0887",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85078246253
"Su, Y., Zahra, S.A., Li, R., Fan, D.","56505903600;7003264340;56600998400;35239542800;","Trust, poverty, and subjective wellbeing among Chinese entrepreneurs",2020,"Entrepreneurship and Regional Development","32","1-2",,"221","245",,6,"10.1080/08985626.2019.1640483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077173867&doi=10.1080%2f08985626.2019.1640483&partnerID=40&md5=fd470962b0a300f4f695c549ce298ed7",Article,"Final","",Scopus,2-s2.0-85077173867
"Nambisan, S., Zahra, S.A., Luo, Y.","55946896600;7003264340;7404332342;","Global platforms and ecosystems: Implications for international business theories",2019,"Journal of International Business Studies","50","9",,"1464","1486",,77,"10.1057/s41267-019-00262-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063762340&doi=10.1057%2fs41267-019-00262-4&partnerID=40&md5=462c16e8c6ae8f6bc70e1637cd21fb65",Article,"Final","",Scopus,2-s2.0-85063762340
"Tran, Y., Zahra, S., Hughes, M.","15726963200;7003264340;22985101600;","A process model of the maturation of a new dynamic capability",2019,"Industrial Marketing Management","83",,,"115","127",,15,"10.1016/j.indmarman.2018.11.009","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056994560&doi=10.1016%2fj.indmarman.2018.11.009&partnerID=40&md5=cce6ebee950d6f31af9a73a398f0d865",Article,"Final","",Scopus,2-s2.0-85056994560
