作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Gummerus, J., Mickelsson, J., Trischler, J., Härkönen, T., Grönroos, C.","20435969000;57498872100;54922159100;57226378452;6603496661;","ActS – Service design based on human activity sets",2021,"Journal of Service Management","32","6",,"28","54",,,"10.1108/JOSM-09-2019-0275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111359417&doi=10.1108%2fJOSM-09-2019-0275&partnerID=40&md5=cd3a0c738006b5782676cea03fc01fcc",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85111359417
"Brax, S.A., Calabrese, A., Levialdi Ghiron, N., Tiburzi, L., Grönroos, C.","8610710900;7006480700;6602786673;57208491250;6603496661;","Explaining the servitization paradox: a configurational theory and a performance measurement framework",2021,"International Journal of Operations and Production Management","41","5",,"517","546",,1,"10.1108/IJOPM-08-2020-0535","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107378969&doi=10.1108%2fIJOPM-08-2020-0535&partnerID=40&md5=59df28a837ec9322a5b8eb88e01122af",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85107378969
"Medberg, G., Grönroos, C.","56582292000;6603496661;","Value-in-use and service quality: do customers see a difference?",2020,"Journal of Service Theory and Practice","30","4-5",,"507","529",,10,"10.1108/JSTP-09-2019-0207","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087035328&doi=10.1108%2fJSTP-09-2019-0207&partnerID=40&md5=01746013bae484f5026a1e18b888883d",Article,"Final","",Scopus,2-s2.0-85087035328
"Holmqvist, J., Visconti, L.M., Grönroos, C., Guais, B., Kessous, A.","37039180300;34868980400;6603496661;57218395596;24066875700;","Understanding the value process: Value creation in a luxury service context",2020,"Journal of Business Research","120",,,"114","126",,14,"10.1016/j.jbusres.2020.07.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089075277&doi=10.1016%2fj.jbusres.2020.07.002&partnerID=40&md5=5b253fdf3150adf49fe656d468e9000b",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85089075277
"Grönroos, C.","6603496661;","Viewpoint: service marketing research priorities",2020,"Journal of Services Marketing","34","3",,"291","298",,16,"10.1108/JSM-08-2019-0306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082955526&doi=10.1108%2fJSM-08-2019-0306&partnerID=40&md5=91aeea90105119477faef43356a9e6f8",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85082955526
"Grönroos, C.","6603496661;","Service profit logic: Ensuring customer willingness to pay",2020,"The Routledge Handbook of Service Research Insights and Ideas",,,,"46","68",,,"10.4324/9781351245234-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108760279&doi=10.4324%2f9781351245234-3&partnerID=40&md5=309f21d7dcce5fd477002abf17b7d8f5",Book Chapter,"Final","",Scopus,2-s2.0-85108760279
"Davey, J., Grönroos, C.","35078360500;6603496661;","Health service literacy: complementary actor roles for transformative value co-creation",2019,"Journal of Services Marketing","33","6",,"687","701",,26,"10.1108/JSM-09-2018-0272","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071570493&doi=10.1108%2fJSM-09-2018-0272&partnerID=40&md5=d8d1738426b43f0c386f1b29e0f4a627",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85071570493
"Teeroovengadum, V., Nunkoo, R., Gronroos, C., Kamalanabhan, T.J., Seebaluck, A.K.","55395317000;18434741100;6603496661;6506172840;53980381400;","Higher education service quality, student satisfaction and loyalty: Validating the HESQUAL scale and testing an improved structural model",2019,"Quality Assurance in Education","27","4",,"427","445",,27,"10.1108/QAE-01-2019-0003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074189493&doi=10.1108%2fQAE-01-2019-0003&partnerID=40&md5=68de1e3d7d0d929dcfa52d8f8a1ee917",Article,"Final","",Scopus,2-s2.0-85074189493
"Grönroos, C.","6603496661;","Reforming public services: does service logic have anything to offer?",2019,"Public Management Review","21","5",,"775","788",,43,"10.1080/14719037.2018.1529879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054812099&doi=10.1080%2f14719037.2018.1529879&partnerID=40&md5=0c3a683a5c345a9197b626f3f0d20436",Article,"Final","",Scopus,2-s2.0-85054812099
"Grönroos, C.","6603496661;","On Value and Value Creation in Service: A Management Perspective",2017,"Journal of Creating Value","3","2",,"125","141",,43,"10.1177/2394964317727196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106718369&doi=10.1177%2f2394964317727196&partnerID=40&md5=6b69ae527cea7db66b4dbf70d479f1f2",Article,"Final","",Scopus,2-s2.0-85106718369
"Subramony, M., Ehrhart, K., Groth, M., Holtom, B.C., van Jaarsveld, D.D., Yagil, D., Darabi, T., Walker, D., Bowen, D.E., Fisk, R.P., Grönroos, C., Wirtz, J.","14030801200;9534546200;7005088499;6602556398;8249209700;6701382675;55759585100;57211901212;7201884865;7004389765;6603496661;7004549683;","Accelerating employee-related scholarship in service management: Research streams, propositions, and commentaries",2017,"Journal of Service Management","28","5",,"837","865",,22,"10.1108/JOSM-02-2017-0055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049219656&doi=10.1108%2fJOSM-02-2017-0055&partnerID=40&md5=79d8e27725df8b6e23c8f3f598b7da7d",Article,"Final","",Scopus,2-s2.0-85049219656
"Holmqvist, J., Van Vaerenbergh, Y., Grönroos, C.","37039180300;55321569900;6603496661;","Language use in services: Recent advances and directions for future research",2017,"Journal of Business Research","72",,,"114","118",,40,"10.1016/j.jbusres.2016.10.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85005942700&doi=10.1016%2fj.jbusres.2016.10.005&partnerID=40&md5=895cb377a376e3fae616503ed3832bd1",Editorial,"Final","All Open Access, Green",Scopus,2-s2.0-85005942700
"Grönroos, C.","6603496661;","Christian Grönroos: I did it my way",2017,"Journal of Historical Research in Marketing","9","3",,"277","301",,2,"10.1108/JHRM-12-2016-0028","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029486523&doi=10.1108%2fJHRM-12-2016-0028&partnerID=40&md5=afd36657e8e415f636d4ccd21da818d0",Article,"Final","",Scopus,2-s2.0-85029486523
"Leroi-Werelds, S., Streukens, S., Van Vaerenbergh, Y., Grönroos, C.","55937611200;6506978555;55321569900;6603496661;","Does communicating the customer’s resource integrating role improve or diminish value proposition effectiveness?",2017,"Journal of Service Management","28","4",,"618","639",,13,"10.1108/JOSM-11-2015-0366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027567931&doi=10.1108%2fJOSM-11-2015-0366&partnerID=40&md5=239597664ffb997ff38767f10d499c0a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85027567931
"Grönroos, C.","6603496661;","Relationship marketing readiness: theoretical background and measurement directions",2017,"Journal of Services Marketing","31","3",,"218","225",,29,"10.1108/JSM-02-2017-0056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019558421&doi=10.1108%2fJSM-02-2017-0056&partnerID=40&md5=4f742dac921a11e8df80da524a35314b",Article,"Final","",Scopus,2-s2.0-85019558421
"Finne, Å., Grönroos, C.","16177458200;6603496661;","Communication-in-use: customer-integrated marketing communication",2017,"European Journal of Marketing","51","3",,"445","463",,48,"10.1108/EJM-08-2015-0553","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017323232&doi=10.1108%2fEJM-08-2015-0553&partnerID=40&md5=c6ce03d6beca86a8d1597c2591077254",Article,"Final","",Scopus,2-s2.0-85017323232
"Grönroos, C.","6603496661;","Internationalization strategies for services: a retrospective",2016,"Journal of Services Marketing","30","2",,"129","132",,17,"10.1108/JSM-11-2015-0354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978983263&doi=10.1108%2fJSM-11-2015-0354&partnerID=40&md5=597b9168753b213592e526176feaecc8",Article,"Final","",Scopus,2-s2.0-84978983263
"Viio, P., Grönroos, C.","56156020100;6603496661;","How buyer-seller relationship orientation affects adaptation of sales processes to the buying process",2016,"Industrial Marketing Management","52",,,"37","46",,30,"10.1016/j.indmarman.2015.07.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958108143&doi=10.1016%2fj.indmarman.2015.07.013&partnerID=40&md5=f18186a1751411ef5e77f774940c35d9",Article,"Final","",Scopus,2-s2.0-84958108143
"FitzPatrick, M., Varey, R.J., Grönroos, C., Davey, J.","7201637011;6603529177;6603496661;35078360500;","Relationality in the service logic of value creation",2015,"Journal of Services Marketing","29","6-7",,"463","471",,42,"10.1108/JSM-01-2015-0038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942113467&doi=10.1108%2fJSM-01-2015-0038&partnerID=40&md5=cf6e2a24fdd3f68fb7ff16c43b20e242",Article,"Final","",Scopus,2-s2.0-84942113467
"Holmqvist, J., Guest, D., Grönroos, C.","37039180300;36438445000;6603496661;","The role of psychological distance in value creation",2015,"Management Decision","53","7",,"1430","1451",,24,"10.1108/MD-06-2014-0335","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939428623&doi=10.1108%2fMD-06-2014-0335&partnerID=40&md5=d62427145a17cfa455afee8d7920af64",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84939428623
"Grönroos, C., Ojasalo, K.","6603496661;6506080607;","Service productivity as mutual learning",2015,"International Journal of Quality and Service Sciences","7","2-3",,"296","311",,14,"10.1108/IJQSS-03-2015-0035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930706856&doi=10.1108%2fIJQSS-03-2015-0035&partnerID=40&md5=4004397126724a1e07816bd033434eaf",Article,"Final","",Scopus,2-s2.0-84930706856
"Kauppinen-Räisänen, H., Grönroos, C.","25623417600;6603496661;","Are service marketing models really used in modern practice?",2015,"Journal of Service Management","26","3",,"346","371",,12,"10.1108/JOSM-06-2014-0164","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930590787&doi=10.1108%2fJOSM-06-2014-0164&partnerID=40&md5=261d0affee93513fdb1488cb2e7711af",Article,"Final","",Scopus,2-s2.0-84930590787
"Boysen Anker, T., Sparks, L., Moutinho, L., Grönroos, C.","35408489100;7102080046;6602316538;6603496661;","Consumer dominant value creation a theoretical response to the recent call for a consumer dominant logic for marketing",2015,"European Journal of Marketing","49","3-4",,"532","560",,48,"10.1108/EJM-09-2013-0518","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928235326&doi=10.1108%2fEJM-09-2013-0518&partnerID=40&md5=0af339bd1772b2c26257a15bf751b692",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928235326
"Grönroos, C.","6603496661;","What can a service logic offer marketing theory?",2014,"The Service-Dominant Logic of Marketing: Dialog, Debate, and Directions",,,,"354","364",,38,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089131209&partnerID=40&md5=1dfdda8c61824f66dea3937144f597c0",Book Chapter,"Final","",Scopus,2-s2.0-85089131209
"Saarijärvi, H., Grönroos, C., Kuusela, H.","42262529700;6603496661;6507148693;","Reverse use of customer data: Implications for service-based business models",2014,"Journal of Services Marketing","28","7",,"529","537",,40,"10.1108/JSM-05-2013-0111","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913536627&doi=10.1108%2fJSM-05-2013-0111&partnerID=40&md5=4fa262efdd58bab0e6d5628f26549777",Article,"Final","",Scopus,2-s2.0-84913536627
"Viio, P., Grönroos, C.","56156020100;6603496661;","Value-based sales process adaptation in business relationships",2014,"Industrial Marketing Management","43","6",,"1085","1095",,26,"10.1016/j.indmarman.2014.05.022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921921564&doi=10.1016%2fj.indmarman.2014.05.022&partnerID=40&md5=ab43d350a965d9279e5db75b67251988",Article,"Final","",Scopus,2-s2.0-84921921564
"Holmqvist, J., van Vaerenbergh, Y., Grönroos, C.","37039180300;55321569900;6603496661;","Consumer willingness to communicate in a second language: Communication in service settings",2014,"Management Decision","52","5",,"950","966",,17,"10.1108/MD-07-2013-0364","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904655585&doi=10.1108%2fMD-07-2013-0364&partnerID=40&md5=170a18d9f4e73b9de0b26d0f0fce3cd7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84904655585
"Grönroos, C., Gummerus, J.","6603496661;20435969000;","The service revolution and its marketing implications: Service logic vs service-dominant logic",2014,"Managing Service Quality","24","3",,"206","229",,242,"10.1108/MSQ-03-2014-0042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898947978&doi=10.1108%2fMSQ-03-2014-0042&partnerID=40&md5=744deef6d76963a94d12dccd27051fdf",Article,"Final","",Scopus,2-s2.0-84898947978
"Strandvik, T., Holmlund, M., Grönroos, C.","55947854600;7801541751;6603496661;","The mental footprint of marketing in the boardroom",2014,"Journal of Service Management","25","2",,"241","252",,28,"10.1108/JOSM-01-2014-0033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897032174&doi=10.1108%2fJOSM-01-2014-0033&partnerID=40&md5=671ee6395524c925181bd4b7857a62ff",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84897032174
"Finne, A., Grönroos, C.","16177458200;6603496661;","Rethinking marketing communication: From integrated marketing communication to relationship communication",2013,"The Evolution of Integrated Marketing Communications: The Customer-driven Marketplace",,,,"105","121",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925815792&partnerID=40&md5=5dd508fd822716478d0cdf2c661bf243",Book Chapter,"Final","",Scopus,2-s2.0-84925815792
"Ehrnrooth, H., Gronroos, C.","55893103300;6603496661;","The hybrid consumer: Exploring hybrid consumption behaviour",2013,"Management Decision","51","9",,"1793","1820",,24,"10.1108/MD-12-2012-0867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84886050928&doi=10.1108%2fMD-12-2012-0867&partnerID=40&md5=efec0af476047ba8912630b4df68ea18",Article,"Final","",Scopus,2-s2.0-84886050928
"Grönroos, C., Voima, P.","6603496661;55309163100;","Critical service logic: Making sense of value creation and co-creation",2013,"Journal of the Academy of Marketing Science","41","2",,"133","150",,1277,"10.1007/s11747-012-0308-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874191730&doi=10.1007%2fs11747-012-0308-3&partnerID=40&md5=f130c6d9f84a1bd6cbe51c118efe9335",Article,"Final","",Scopus,2-s2.0-84874191730
"Grönroos, C.","6603496661;","Conceptualising value co-creation: A journey to the 1970s and back to the future",2012,"Journal of Marketing Management","28","13-14",,"1520","1534",,259,"10.1080/0267257X.2012.737357","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870867644&doi=10.1080%2f0267257X.2012.737357&partnerID=40&md5=8659daf0cca100c2a2353dfcc2b31817",Article,"Final","",Scopus,2-s2.0-84870867644
"Holmqvist, J., Grönroos, C.","37039180300;6603496661;","How Does Language Matter for Services? Challenges and Propositions for Service Research",2012,"Journal of Service Research","15","4",,"430","442",,72,"10.1177/1094670512441997","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84868094660&doi=10.1177%2f1094670512441997&partnerID=40&md5=c325b416b9336b9ae3ac9f074ec0bae7",Article,"Final","",Scopus,2-s2.0-84868094660
"Gummesson, E., Mele, C., Polese, F., Gummesson, E., Grönroos, C.","6602211919;16319261200;12761613600;6602211919;6603496661;","The emergence of the new service marketing: Nordic School perspectives",2012,"Journal of Service Management","23","4",,"479","497",,62,"10.1108/09564231211260387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864466725&doi=10.1108%2f09564231211260387&partnerID=40&md5=85157b55a77d2cb558eb50247e530fc5",Article,"Final","",Scopus,2-s2.0-84864466725
"Grönroos, C., Helle, P.","6603496661;55166232100;","Return on relationships: Conceptual understanding and measurement of mutual gains from relational business engagements",2012,"Journal of Business &amp; Industrial Marketing","27","5",,"344","359",,48,"10.1108/08858621211236025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861826692&doi=10.1108%2f08858621211236025&partnerID=40&md5=5f65555109556afe8e5aa59b550e12bb",Article,"Final","",Scopus,2-s2.0-84861826692
"Grönroos, C.","6603496661;","Special issue on The Management of Complex Engineering Service Systems",2012,"Journal of Service Management","23","1",,"17","21",,,"10.1108/josm.2012.08523aaa.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003076999&doi=10.1108%2fjosm.2012.08523aaa.003&partnerID=40&md5=3b51ad53397a4391147916b432122c08",Article,"Final","",Scopus,2-s2.0-85003076999
"Grönroos, C.","6603496661;","Value co-creation in service logic: A critical analysis",2011,"Marketing Theory","11","3",,"279","301",,869,"10.1177/1470593111408177","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053497835&doi=10.1177%2f1470593111408177&partnerID=40&md5=fcc64bb22c3f851fe163b3d50864620d",Article,"Final","",Scopus,2-s2.0-80053497835
"Grönroos, C., Ravald, A.","6603496661;35729039400;","Service as business logic: Implications for value creation and marketing",2011,"Journal of Service Management","22","1",,"5","22",,471,"10.1108/09564231111106893","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952332348&doi=10.1108%2f09564231111106893&partnerID=40&md5=ea3c0ba0d5797422be88271e4dfca6f2",Article,"Final","",Scopus,2-s2.0-79952332348
"Grönroos, C.","6603496661;","A service perspective on business relationships: The value creation, interaction and marketing interface",2011,"Industrial Marketing Management","40","2",,"240","247",,381,"10.1016/j.indmarman.2010.06.036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951549688&doi=10.1016%2fj.indmarman.2010.06.036&partnerID=40&md5=06d17652d89c7281401f9289162c402a",Article,"Final","",Scopus,2-s2.0-79951549688
"Degenhardt, T., Grönroos, C.","36767190100;6603496661;","Do economic downturns make firms more market oriented? [Blir företag mera marknadsorienterade i tider av recession?]",2010,"Ekonomiska Samfundets Tidskrift","63","3",,"155","174",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78651322724&partnerID=40&md5=8b6f1aa8b8d002787e7282433f716e07",Article,"Final","",Scopus,2-s2.0-78651322724
"Grönroos, C., Helle, P.","6603496661;55166232100;","Adopting a service logic in manufacturing: Conceptual foundation and metrics for mutual value creation",2010,"Journal of Service Management","21","5",,"564","590",,180,"10.1108/09564231011079057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149262592&doi=10.1108%2f09564231011079057&partnerID=40&md5=c89df47064d5a59f3c7d5b6871b92b10",Article,"Final","",Scopus,2-s2.0-78149262592
"Finne, Å., Grönroos, C.","16177458200;6603496661;","Rethinking marketing communication: From integrated marketing communication to relationship communication",2009,"Journal of Marketing Communications","15","2-3",,"179","195",,76,"10.1080/13527260902757654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70449701916&doi=10.1080%2f13527260902757654&partnerID=40&md5=8e732f5b0954cfea405b0d47ed387701",Article,"Final","",Scopus,2-s2.0-70449701916
"Grönroos, C.","6603496661;","Marketing as promise management: Regaining customer management for marketing",2009,"Journal of Business and Industrial Marketing","24","5",,"351","359",,106,"10.1108/08858620910966237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349632177&doi=10.1108%2f08858620910966237&partnerID=40&md5=e95fe6675e78d5b3f388009c05d903fa",Article,"Final","",Scopus,2-s2.0-70349632177
"Grönroos, C.","6603496661;","Relationship marketing as promise management",2009,"The SAGE Handbook of Marketing Theory",,,,"397","412",,6,"10.4135/9781446222454.n23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908197944&doi=10.4135%2f9781446222454.n23&partnerID=40&md5=a71838f1c76cbf22b0ed506d50982709",Book Chapter,"Final","",Scopus,2-s2.0-84908197944
"Grönroos, C.","6603496661;","Service logic revisited: Who creates value? And who co-creates?",2008,"European Business Review","20","4",,"298","314",,1025,"10.1108/09555340810886585","https://www.scopus.com/inward/record.uri?eid=2-s2.0-46349107090&doi=10.1108%2f09555340810886585&partnerID=40&md5=f773908e7eecf38887e1dd759eb4e98f",Article,"Final","",Scopus,2-s2.0-46349107090
"Grönroos, C.","6603496661;","Is every business a service business? Customer's value creation and firm's business logic from a service perspective [Är alla företag tjänsteföretag? Tjänsteperspektiv på kunders värdeskapande och i företags affärslogik]",2007,"Ekonomiska Samfundets Tidskrift","60","3",,"113","122",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38349065054&partnerID=40&md5=8a73a729cd6fdc88aebf561fda4b8373",Review,"Final","",Scopus,2-s2.0-38349065054
"Sääksjärvi, M., Hellén, K., Gummerus, J., Grönroos, C.","24175422900;20436238100;20435969000;6603496661;","Love at first sight or a long-term affair? Different relationship levels as predictors of customer commitment",2007,"Journal of Relationship Marketing","6","1",,"45","61",,11,"10.1300/J366v06n01_04","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548299521&doi=10.1300%2fJ366v06n01_04&partnerID=40&md5=617ad90d8b80a1014c8502cbb882ff7d",Article,"Final","",Scopus,2-s2.0-34548299521
"Grönroos, C.","6603496661;","On defining marketing: Finding a new roadmap for marketing",2006,"Marketing Theory","6","4",,"395","417",,147,"10.1177/1470593106069930","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990328572&doi=10.1177%2f1470593106069930&partnerID=40&md5=5b71204983cab9b815f127ea80b578ee",Article,"Final","",Scopus,2-s2.0-84990328572
"Grönroos, C.","6603496661;","Adopting a service logic for marketing",2006,"Marketing Theory","6","3",,"317","333",,452,"10.1177/1470593106066794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990316989&doi=10.1177%2f1470593106066794&partnerID=40&md5=2a118a44df258b618b02b006f114f35d",Article,"Final","",Scopus,2-s2.0-84990316989
"Grönroos, C.","6603496661;","The relationship marketing process: Communication, interaction, dialogue, value",2004,"Journal of Business and Industrial Marketing","19","2",,"99","113",,476,"10.1108/08858620410523981","https://www.scopus.com/inward/record.uri?eid=2-s2.0-2442550793&doi=10.1108%2f08858620410523981&partnerID=40&md5=15cc4b13e49bda51b009da6faa19047f",Review,"Final","",Scopus,2-s2.0-2442550793
