作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Hernandez, J.A., Shahzad, S.J.H., Sadorsky, P., Uddin, G.S., Bouri, E., Kang, S.H.","56387649900;56365998900;6603166747;37082267000;55270146400;55568262600;","Regime specific spillovers across US sectors and the role of oil price volatility",2022,"Energy Economics","107",,"105834","","",,,"10.1016/j.eneco.2022.105834","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123575139&doi=10.1016%2fj.eneco.2022.105834&partnerID=40&md5=46a653ee5aeb317eb3a69585b5d9c348",Article,"Final","",Scopus,2-s2.0-85123575139
"Sadorsky, P.","6603166747;","Eco-efficiency for the g18: Trends and future outlook",2021,"Sustainability (Switzerland)","13","20","11196","","",,,"10.3390/su132011196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117189924&doi=10.3390%2fsu132011196&partnerID=40&md5=5e793d0131179dada89683575ae42234",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85117189924
"Liddle, B., Sadorsky, P.","57213040661;6603166747;","Energy efficiency in OECD and non-OECD countries: estimates and convergence",2021,"Energy Efficiency","14","7","72","","",,2,"10.1007/s12053-021-09992-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114751968&doi=10.1007%2fs12053-021-09992-7&partnerID=40&md5=92cd915f5edee999c1c951fe772c4e9e",Article,"Final","",Scopus,2-s2.0-85114751968
"Kang, S., Hernandez, J.A., Sadorsky, P., McIver, R.","55568262600;56387649900;6603166747;34974459100;","Frequency spillovers, connectedness, and the hedging effectiveness of oil and gold for US sector ETFs",2021,"Energy Economics","99",,"105278","","",,10,"10.1016/j.eneco.2021.105278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104733410&doi=10.1016%2fj.eneco.2021.105278&partnerID=40&md5=81e435f76f87575b0792ee4ce1e0cd26",Article,"Final","",Scopus,2-s2.0-85104733410
"Sadorsky, P.","6603166747;","Wind energy for sustainable development: Driving factors and future outlook",2021,"Journal of Cleaner Production","289",,"125779","","",,33,"10.1016/j.jclepro.2020.125779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099239766&doi=10.1016%2fj.jclepro.2020.125779&partnerID=40&md5=105b1d9caf68009a2844f36912963f11",Article,"Final","",Scopus,2-s2.0-85099239766
"Tiwari, A.K., Pathak, R., DasGupta, R., Sadorsky, P.","57204698496;56669369500;57195773504;6603166747;","Modelling dependence and systemic risk between oil prices and BSE sectoral indices using stochastic copula and CoVar, ΔCoVar and MES approaches",2021,"Applied Economics","53","58",,"6770","6788",,,"10.1080/00036846.2021.1949430","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111692131&doi=10.1080%2f00036846.2021.1949430&partnerID=40&md5=49d8ab796bf9b05394a2233bf59c5fa0",Article,"Final","",Scopus,2-s2.0-85111692131
"Liddle, B., Sadorsky, P.","57213040661;6603166747;","How much do asymmetric changes in income and energy prices affect energy demand?",2020,"Journal of Economic Asymmetries","21",,"e00141","","",,12,"10.1016/j.jeca.2019.e00141","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075943591&doi=10.1016%2fj.jeca.2019.e00141&partnerID=40&md5=4359180e95ac5e7b3cecf250b9b97f51",Article,"Final","",Scopus,2-s2.0-85075943591
"Sadorsky, P.","6603166747;","Energy related CO2 emissions before and after the financial crisis",2020,"Sustainability (Switzerland)","12","9","3867","","",,15,"10.3390/su12093867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085351105&doi=10.3390%2fsu12093867&partnerID=40&md5=f8b374f96a40d4bef89bdaf178958a23",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85085351105
"Bhattacharya, M., Inekwe, J.N., Sadorsky, P.","7102111655;55985172700;6603166747;","Consumption-based and territory-based carbon emissions intensity: Determinants and forecasting using club convergence across countries",2020,"Energy Economics","86",,"104632","","",,45,"10.1016/j.eneco.2019.104632","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077503821&doi=10.1016%2fj.eneco.2019.104632&partnerID=40&md5=78bd2f64e093d07661d8fa560149ceba",Article,"Final","",Scopus,2-s2.0-85077503821
"Bhattacharya, M., Inekwe, J.N., Sadorsky, P.","7102111655;55985172700;6603166747;","Convergence of energy productivity in Australian states and territories: Determinants and forecasts",2020,"Energy Economics","85",,"104538","","",,20,"10.1016/j.eneco.2019.104538","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074868709&doi=10.1016%2fj.eneco.2019.104538&partnerID=40&md5=5041bf3c36f2dfca4f18068f54cece38",Article,"Final","",Scopus,2-s2.0-85074868709
"Hanif, W., Arreola Hernandez, J., Sadorsky, P., Yoon, S.-M.","57201879548;56387649900;6603166747;7404035607;","Are the interdependence characteristics of the US and Canadian energy equity sectors nonlinear and asymmetric?",2020,"North American Journal of Economics and Finance","51",,"101065","","",,4,"10.1016/j.najef.2019.101065","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072302582&doi=10.1016%2fj.najef.2019.101065&partnerID=40&md5=225b9fe1dbabf9c692833373f0b6f86f",Article,"Final","",Scopus,2-s2.0-85072302582
"Sadorsky, P.","6603166747;","Oil and stock prices",2019,"Routledge Handbook of Energy Economics",,,,"339","354",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121089804&partnerID=40&md5=412aecca1fcd71a1f5e88bd522733a33",Book Chapter,"Final","",Scopus,2-s2.0-85121089804
"Henriques, I., Sadorsky, P.","6701586582;6603166747;","Investor implications of divesting from fossil fuels",2018,"Global Finance Journal","38",,,"30","44",,35,"10.1016/j.gfj.2017.10.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032957786&doi=10.1016%2fj.gfj.2017.10.004&partnerID=40&md5=be3fc8f43932ef5cc1c8ee4d7b4bce01",Article,"Final","",Scopus,2-s2.0-85032957786
"Basher, S.A., Haug, A.A., Sadorsky, P.","14048112000;56238225800;6603166747;","The impact of oil-market shocks on stock returns in major oil-exporting countries",2018,"Journal of International Money and Finance","86",,,"264","280",,82,"10.1016/j.jimonfin.2018.05.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047535323&doi=10.1016%2fj.jimonfin.2018.05.003&partnerID=40&md5=fd10fb96e07dbc9899182587977c7943",Article,"Final","",Scopus,2-s2.0-85047535323
