作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Yen, J., Battilana, J., Aguirre, E.","57695970000;14119410800;57695970100;","Sustainability for people and the planet: Placing workers at the center of sustainability research",2022,"Handbook on the Business of Sustainability: The Organization, Implementation, and Practice of Sustainable Growth",,,,"189","214",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130177006&partnerID=40&md5=0a34051c19e8a7a8fa4d655aeb5e68ae",Book Chapter,"Final","",Scopus,2-s2.0-85130177006
"Battilana, J., Pache, A.-C., Sengul, M., Kimsey, M.","14119410800;36020328900;27467882300;57195662502;","The dual-purpose playbook",2019,"Harvard Business Review","2019","March-April",,"124","133",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067286809&partnerID=40&md5=7fbf6818fd877d351ab99cf32b56b968",Article,"Final","",Scopus,2-s2.0-85067286809
"Battilana, J.","14119410800;","Cracking the organizational challenge of pursuing joint social and financial goals: Social enterprise as a laboratory to understand hybrid organizing",2018,"Management (France)","21","4",,"1278","1305",,32,"10.3917/mana.214.1278","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059687253&doi=10.3917%2fmana.214.1278&partnerID=40&md5=18a9e483412a14f003bc6a362a3b56fa",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85059687253
"Battilana, J., Fuerstein, M., Lee, M.","14119410800;55027267100;57192305533;","New prospects for organizational democracy?: How the joint pursuit of social and financial goals challenges traditional organizational designs",2018,"Capitalism beyond Mutuality?: Perspectives Integrating Philosophy and Social Science",,,,"256","288",,13,"10.1093/oso/9780198825067.003.0013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050773166&doi=10.1093%2foso%2f9780198825067.003.0013&partnerID=40&md5=3df57fe5b662edda7861dc7518cf9d6f",Book Chapter,"Final","",Scopus,2-s2.0-85050773166
"Desantola, A., Ramarajan, L., Battilana, J.","57192307923;8715700000;14119410800;","New venture milestones and the first female board member",2017,"2017 Annual Meeting of the Academy of Management, AOM 2017","2017-August",,,"","",,,"10.5465/ambpp.2017.300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046479115&doi=10.5465%2fambpp.2017.300&partnerID=40&md5=f1dfa8590f6f5a119140d8f9b9920b67",Conference Paper,"Final","",Scopus,2-s2.0-85046479115
"Dimitriadis, S., Lee, M., Ramarajan, L., Battilana, J.","57196080394;56143669800;8715700000;14119410800;","Blurring the boundaries: The interplay of gender and local communities in the commercialization of social ventures",2017,"Organization Science","28","5",,"819","839",,23,"10.1287/orsc.2017.1144","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031751615&doi=10.1287%2forsc.2017.1144&partnerID=40&md5=4cd9b1c810e8553f2426ca94dc3c0dde",Article,"Final","",Scopus,2-s2.0-85031751615
"Battilana, J., Sengul, M., Pache, A.-C., Model, J.","14119410800;27467882300;36020328900;57189891395;","Harnessing productive tensions in hybrid organizations: The case of work integration social enterprises",2015,"Academy of Management Journal","58","6",,"1658","1685",,354,"10.5465/amj.2013.0903","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963727114&doi=10.5465%2famj.2013.0903&partnerID=40&md5=a019af22eb256cde481d43282c6be37e",Article,"Final","",Scopus,2-s2.0-84963727114
"Manning, R., Battilana, J., Ramarajan, L.","56451490200;14119410800;8715700000;","Communicating change: When identity becomes a source of vulnerability for institutional challengers",2014,"74th Annual Meeting of the Academy of Management, AOM 2014",,,,"453","458",,1,"10.5465/AMBPP.2014.249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026318421&doi=10.5465%2fAMBPP.2014.249&partnerID=40&md5=39769cba537172745844be7438af7895",Conference Paper,"Final","",Scopus,2-s2.0-85026318421
"Ebrahim, A., Battilana, J., Mair, J.","7004367012;14119410800;35969477900;","The governance of social enterprises: Mission drift and accountability challenges in hybrid organizations",2014,"Research in Organizational Behavior","34",,,"81","100",,453,"10.1016/j.riob.2014.09.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919330194&doi=10.1016%2fj.riob.2014.09.001&partnerID=40&md5=96de56cc3b9f2965439b1ca7f20d7389",Review,"Final","",Scopus,2-s2.0-84919330194
"Lee, M., Battilana, J., Wang, T.","56143669800;14119410800;56330769900;","Building an infrastructure for empirical research on social enterprise: Challenges and opportunities",2014,"Research Methodology in Strategy and Management","9",,,"241","264",,22,"10.1108/S1479-838720140000009017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84906258417&doi=10.1108%2fS1479-838720140000009017&partnerID=40&md5=5da315f3788a0148128eaca1ad3626e4",Article,"Final","",Scopus,2-s2.0-84906258417
"Battilana, J., Lee, M.","14119410800;56143669800;","Advancing Research on Hybrid Organizing - Insights from the Study of Social Enterprises",2014,"Academy of Management Annals","8","1",,"397","441",,811,"10.1080/19416520.2014.893615","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902806888&doi=10.1080%2f19416520.2014.893615&partnerID=40&md5=6a25c7ca862f9fe9744bb19bdf706057",Article,"Final","",Scopus,2-s2.0-84902806888
"Battilana, J., Casciaro, T.","14119410800;6507877152;","The network secrets of great change agents",2013,"Harvard Business Review","91","7-8",,"","",,30,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879661882&partnerID=40&md5=2807dc44072d91491a2c144171d8ef94",Note,"Final","",Scopus,2-s2.0-84879661882
"Battilana, J., Casciaro, T.","14119410800;6507877152;","Overcoming resistance to organizational change: Strong ties and affective cooptation",2013,"Management Science","59","4",,"819","836",,62,"10.1287/mnsc.1120.1583","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875915551&doi=10.1287%2fmnsc.1120.1583&partnerID=40&md5=e95b4b869a6fa9a35ea26770449108ac",Article,"Final","",Scopus,2-s2.0-84875915551
"Rimac, T., Mair, J., Battilana, J.","56335126200;35969477900;14119410800;","Social entrepreneurs, socialization processes, and social change: The case of SEKEM",2012,"Using a Positive Lens to Explore Social Change and Organizations: Building a Theoretical and Research Foundation",,,,"71","90",,6,"10.4324/9780203136232","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897626889&doi=10.4324%2f9780203136232&partnerID=40&md5=4eaa8cc4cd6eaa0e5c39d35d1ace929f",Book Chapter,"Final","",Scopus,2-s2.0-84897626889
"Mair, J., Battilana, J., Cardenas, J.","35969477900;14119410800;55063314900;","Organizing for Society: A Typology of Social Entrepreneuring Models",2012,"Journal of Business Ethics","111","3",,"353","373",,226,"10.1007/s10551-012-1414-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870740419&doi=10.1007%2fs10551-012-1414-3&partnerID=40&md5=90142cf80ddef71be67a39ef1a1e47f7",Article,"Final","",Scopus,2-s2.0-84870740419
"Battilana, J., Casciaro, T.","14119410800;6507877152;","Change agents, networks, and institutions: A contingency theory of organizational change",2012,"Academy of Management Journal","55","2",,"381","398",,183,"10.5465/amj.2009.0891","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860500596&doi=10.5465%2famj.2009.0891&partnerID=40&md5=d5ff5ad33d757b2454884211849720ef",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84860500596
