作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Fama, E.F., French, K.R.","6603950815;7006094907;","The Value Premium",2021,"Review of Asset Pricing Studies","11","1",,"105","121",,3,"10.1093/rapstu/raaa021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110031231&doi=10.1093%2frapstu%2fraaa021&partnerID=40&md5=68e8070f28a921763485e3fd57de4627",Review,"Final","",Scopus,2-s2.0-85110031231
"Fama, E.F.","6603950815;","Contract costs, stakeholder capitalism, and ESG",2021,"European Financial Management","27","2",,"189","195",,5,"10.1111/eufm.12297","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097300023&doi=10.1111%2feufm.12297&partnerID=40&md5=4872e7c58b0211c89e75d46d2a5012ef",Article,"Final","",Scopus,2-s2.0-85097300023
"Fama, E.F.","6603950815;","Taxes",2021,"European Financial Management","27","1",,"3","11",,,"10.1111/eufm.12300","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099194639&doi=10.1111%2feufm.12300&partnerID=40&md5=2df72fd0318da14fba670aacb0e49c0f",Article,"Final","",Scopus,2-s2.0-85099194639
"Fama, E.F., French, K.R.","6603950815;7006094907;","Comparing Cross-Section and Time-Series Factor Models",2020,"Review of Financial Studies","33","5",,"1891","1926",,19,"10.1093/rfs/hhz089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087642001&doi=10.1093%2frfs%2fhhz089&partnerID=40&md5=132dca42035b23b8089c24a4703d85b7",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85087642001
"Fama, E.F.","6603950815;","Interest Rates and Inflation Revisited",2019,"Review of Asset Pricing Studies","9","2",,"197","209",,,"10.1093/rapstu/raz004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115757905&doi=10.1093%2frapstu%2fraz004&partnerID=40&md5=ae91441c979a39af2561bf6583a48144",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85115757905
"Fama, E.F., Jensen, M.C.","6603950815;57208461699;","Separation of ownership and control",2019,"Corporate Governance: Values, Ethics and Leadership",,,,"163","188",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079027360&partnerID=40&md5=4623afb0d3c8a96bc74607054868723b",Book Chapter,"Final","",Scopus,2-s2.0-85079027360
"Fama, E.F., French, K.R.","6603950815;7006094907;","Long-horizon returns",2018,"Review of Asset Pricing Studies","8","2",,"232","252",,17,"10.1093/rapstu/ray001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050503004&doi=10.1093%2frapstu%2fray001&partnerID=40&md5=f49513ef9bbf362fac7f209eedb67ffc",Article,"Final","",Scopus,2-s2.0-85050503004
"Fama, E.F., French, K.R.","6603950815;7006094907;","Choosing factors",2018,"Journal of Financial Economics","128","2",,"234","252",,201,"10.1016/j.jfineco.2018.02.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043978552&doi=10.1016%2fj.jfineco.2018.02.012&partnerID=40&md5=d3ffa8e8e08e915b0488fd8e74fe85e0",Article,"Final","",Scopus,2-s2.0-85043978552
"Fama, E.F., French, K.R.","6603950815;7006094907;","Volatility lessons",2018,"Financial Analysts Journal","74","3",,"42","53",,11,"10.2469/faj.v74.n3.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052658898&doi=10.2469%2ffaj.v74.n3.6&partnerID=40&md5=6389bc9cffd1691c2fc50b91a5f208f5",Article,"Final","",Scopus,2-s2.0-85052658898
"Fama, E.F.","6603950815;","Finance at the University of Chicago",2017,"Journal of Political Economy","125","6",,"1790","1799",,,"10.1086/694623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051249437&doi=10.1086%2f694623&partnerID=40&md5=92d43d88cc26c2edd282caae18058cb1",Note,"Final","",Scopus,2-s2.0-85051249437
