作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Zhang, G., Gao, Y., Li, J., Su, B., Chen, Z., Lin, W.","55739032600;57197816487;14219309800;54790177400;57196044049;57486318200;","Author Correction: China’s environmental policy intensity for 1978–2019 (Scientific Data, (2022), 9, 1, (75), 10.1038/s41597-022-01183-y)",2022,"Scientific Data","9","1","181","","",,,"10.1038/s41597-022-01286-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128117445&doi=10.1038%2fs41597-022-01286-6&partnerID=40&md5=48773f35a17a43fc0b440b66969d40b7",Erratum,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85128117445
"Zhang, G., Gao, Y., Li, J., Su, B., Chen, Z., Lin, W.","55739032600;57197816487;14219309800;54790177400;57196044049;57486318200;","China’s environmental policy intensity for 1978–2019",2022,"Scientific Data","9","1","75","","",,,"10.1038/s41597-022-01183-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126244368&doi=10.1038%2fs41597-022-01183-y&partnerID=40&md5=2abad952a75ab394711f02a339feb144",Data Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85126244368
"Zhang, X., Su, B., Yang, J., Cong, J.","57210394977;54790177400;57196225423;57193335865;","Analysis of Shanxi Province's energy consumption and intensity using input-output framework (2002–2017)",2022,"Energy","250",,"123786","","",,1,"10.1016/j.energy.2022.123786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126923047&doi=10.1016%2fj.energy.2022.123786&partnerID=40&md5=d18ee90569832978426aa36868141499",Article,"Final","",Scopus,2-s2.0-85126923047
"Sun, Y.-F., Zhang, Y.-J., Su, B.","57013685500;23988220400;54790177400;","Impact of government subsidy on the optimal R&amp;D and advertising investment in the cooperative supply chain of new energy vehicles",2022,"Energy Policy","164",,"112885","","",,,"10.1016/j.enpol.2022.112885","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126564412&doi=10.1016%2fj.enpol.2022.112885&partnerID=40&md5=47322dd7b4a4459312c6289782598a8d",Article,"Final","",Scopus,2-s2.0-85126564412
"Wang, E., Su, B., Zhong, S., Guo, Q.","57202395031;54790177400;55993968100;57202395023;","China's Embodied SO2 Emissions and Aggregate Embodied SO2 Intensities in Interprovincial and International Trade",2022,"Technological Forecasting and Social Change","177",,"121546","","",,,"10.1016/j.techfore.2022.121546","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124220034&doi=10.1016%2fj.techfore.2022.121546&partnerID=40&md5=0631b91db090b720d74dc678940aca43",Article,"Final","",Scopus,2-s2.0-85124220034
"Sun, Y.-F., Zhang, Y.-J., Su, B.","57437721800;23988220400;54790177400;","How does global transport sector improve the emissions reduction performance? A demand-side analysis",2022,"Applied Energy","311",,"118648","","",,1,"10.1016/j.apenergy.2022.118648","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123952094&doi=10.1016%2fj.apenergy.2022.118648&partnerID=40&md5=65f22e6be2f4bc67ad71f76013814f70",Article,"Final","",Scopus,2-s2.0-85123952094
"Su, B., Ang, B.W., Sun, Y.-F.","54790177400;7007186262;57437721800;","Input-output analysis of embodied emissions: Impacts of imports data treatment on emission drivers",2022,"Energy Economics","107",,"105875","","",,2,"10.1016/j.eneco.2022.105875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124284978&doi=10.1016%2fj.eneco.2022.105875&partnerID=40&md5=e25d48ec1381a0f65143bd3396075b64",Article,"Final","",Scopus,2-s2.0-85124284978
"Su, B., Goh, T., Ang, B.W., Ng, T.S.","54790177400;57190946639;7007186262;8096010200;","Energy consumption and energy efficiency trends in Singapore: The case of a meticulously planned city",2022,"Energy Policy","161",,"112732","","",,1,"10.1016/j.enpol.2021.112732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119897366&doi=10.1016%2fj.enpol.2021.112732&partnerID=40&md5=1727375748d72259ca706b30419b333b",Article,"Final","",Scopus,2-s2.0-85119897366
"Zhang, G., Jia, Y., Su, B., Xiu, J.","55739032600;57329378500;54790177400;57200081665;","Environmental regulation, economic development and air pollution in the cities of China: Spatial econometric analysis based on policy scoring and satellite data",2021,"Journal of Cleaner Production","328",,"129496","","",,6,"10.1016/j.jclepro.2021.129496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118844161&doi=10.1016%2fj.jclepro.2021.129496&partnerID=40&md5=f0f1759ed7a3198afce627266904d2f2",Article,"Final","",Scopus,2-s2.0-85118844161
"Zeng, S., Su, B., Zhang, M., Gao, Y., Liu, J., Luo, S., Tao, Q.","57211002973;54790177400;57288086100;57216202556;57287362900;57288086200;57288259800;","Analysis and forecast of China's energy consumption structure",2021,"Energy Policy","159",,"112630","","",,4,"10.1016/j.enpol.2021.112630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116583441&doi=10.1016%2fj.enpol.2021.112630&partnerID=40&md5=55315044f91c4039c8e3dd087569578f",Article,"Final","",Scopus,2-s2.0-85116583441
"Kang, J., Ng, T.S., Su, B., Milovanoff, A.","56283080800;8096010200;54790177400;57199397330;","Electrifying light-duty passenger transport for CO2 emissions reduction: A stochastic-robust input–output linear programming model",2021,"Energy Economics","104",,"105623","","",,2,"10.1016/j.eneco.2021.105623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116581531&doi=10.1016%2fj.eneco.2021.105623&partnerID=40&md5=f4b1b529c4c855e57548245659859e1a",Article,"Final","",Scopus,2-s2.0-85116581531
