作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Non, A., Rohde, I., de Grip, A., Dohmen, T.","36094682500;54403604700;6603561484;7801649494;","Mission of the company, prosocial attitudes and job preferences: A discrete choice experiment",2022,"Labour Economics","74",,"102087","","",,,"10.1016/j.labeco.2021.102087","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119989909&doi=10.1016%2fj.labeco.2021.102087&partnerID=40&md5=034d0faf3a61b8a45a2cbd23e957c782",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85119989909
"Dohmen, T., Non, A., Stolp, T.","7801649494;36094682500;57222583385;","Reference points and the tradeoff between risk and incentives",2021,"Journal of Economic Behavior and Organization","192",,,"813","831",,,"10.1016/j.jebo.2021.11.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119607385&doi=10.1016%2fj.jebo.2021.11.008&partnerID=40&md5=d59287ea43d16d82abcab856370b9719",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119607385
"Bortolotti, S., Dohmen, T., Lehmann, H., Meyer, F., Pignatti, N., Torosyan, K.","55863579700;7801649494;7402884515;57222466847;13607995200;55792305000;","Patience, Cognitive Abilities, and Cognitive Effort: Survey and Experimental Evidence From a Developing Country",2021,"American Behavioral Scientist","65","11",,"1512","1530",,,"10.1177/0002764221996744","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102776587&doi=10.1177%2f0002764221996744&partnerID=40&md5=2be6a7bb5816f77173640de4a2d9b596",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85102776587
"Arslan, R.C., Brümmer, M., Dohmen, T., Drewelies, J., Hertwig, R., Wagner, G.G.","56104986200;55995213500;7801649494;56566719100;6701597346;56428054900;","How people know their risk preference",2020,"Scientific Reports","10","1","15365","","",,12,"10.1038/s41598-020-72077-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091310132&doi=10.1038%2fs41598-020-72077-5&partnerID=40&md5=94bdd16e14a3da0cb27a66f129ee8278",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85091310132
"Pollmann, D., Dohmen, T., Palm, F.","57219031608;7801649494;7004142699;","Robust Estimation of Wage Dispersion with Censored Data: An Application to Occupational Earnings Risk and Risk Attitudes",2020,"Economist (Netherlands)","168","4",,"519","540",,1,"10.1007/s10645-020-09374-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091094501&doi=10.1007%2fs10645-020-09374-x&partnerID=40&md5=b272f41044b5ea367997413ed4c37f39",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85091094501
"Bernard, M., Dohmen, T., Non, A., Rohde, I.M.T.","57213646329;7801649494;36094682500;54403604700;","Menus of contracts determine sorting patterns",2019,"Journal of Economic Psychology","72",,,"293","311",,1,"10.1016/j.joep.2019.04.004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065067790&doi=10.1016%2fj.joep.2019.04.004&partnerID=40&md5=5bf8a7056d736dd8e0a6a1162a1b5b8a",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85065067790
"Falk, A., Becker, A., Dohmen, T., Enke, B., Huffman, D., Sunde, U.","56257581700;55555136500;7801649494;57190789136;16245412800;12806684500;","Global evidence on economic preferences",2018,"Quarterly Journal of Economics","133","4",,"1645","1692",,312,"10.1093/qje/qjy013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055478200&doi=10.1093%2fqje%2fqjy013&partnerID=40&md5=c6eb7585ade5ea2eac4aa07827f1522c",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85055478200
"Dohmen, T., Sonnabend, H.","7801649494;57191289309;","Further Field Evidence for Minimax Play",2018,"Journal of Sports Economics","19","3",,"371","388",,7,"10.1177/1527002516656729","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044364621&doi=10.1177%2f1527002516656729&partnerID=40&md5=109b674f0019820ef246db989572f60a",Article,"Final","",Scopus,2-s2.0-85044364621
"Dohmen, T., Falk, A., Huffman, D., Sunde, U.","7801649494;56257581700;16245412800;12806684500;","On the relationship between cognitive ability and risk preference",2018,"Journal of Economic Perspectives","32","2",,"115","134",,43,"10.1257/jep.32.2.115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046727877&doi=10.1257%2fjep.32.2.115&partnerID=40&md5=db58d900478e91c4bbafc390cb93b585",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85046727877
"Dohmen, T., Falk, A., Golsteyn, B.H.H., Huffman, D., Sunde, U.","7801649494;56257581700;11239943400;16245412800;12806684500;","Risk Attitudes Across The Life Course",2017,"Economic Journal","127","605",,"F95","F116",,67,"10.1111/ecoj.12322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032360209&doi=10.1111%2fecoj.12322&partnerID=40&md5=33ea5a52a6cbf6be7ed991fd2218f4e0",Article,"Final","",Scopus,2-s2.0-85032360209
