作者,作者 ID,标题,年份,来源出版物名称,卷,期,论文编号,起始页码,结束页码,页码计数,施引文献,DOI,链接,文献类型,出版阶段,开放获取,来源出版物,EID
"Su, L., Tu, Y., Ullah, A.","12780712300;56148516300;7005349157;","Testing Additive Separability of Error Term in Nonparametric Structural Models",2015,"Econometric Reviews","34","6-10",,"1057","1088",,8,"10.1080/07474938.2014.956621","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938509963&doi=10.1080%2f07474938.2014.956621&partnerID=40&md5=bf0b62185eb8296157b9033c4e7b1b96",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84938509963
"Su, L., Jin, S., Zhang, Y.","12780712300;7401822800;55272889300;","Specification test for panel data models with interactive fixed effects",2015,"Journal of Econometrics","186","1",,"222","244",,33,"10.1016/j.jeconom.2014.06.018","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027952123&doi=10.1016%2fj.jeconom.2014.06.018&partnerID=40&md5=cee789829d458e8f2431de2eb97a33d2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85027952123
"Li, Y., Su, L., Xu, Y.","52264209600;12780712300;7407806397;","A Combined Approach to the Inference of Conditional Factor Models",2015,"Journal of Business and Economic Statistics","33","2",,"203","220",,1,"10.1080/07350015.2014.940082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928265400&doi=10.1080%2f07350015.2014.940082&partnerID=40&md5=de52cf30d92dc437bc861665e0f7a831",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928265400
"Jin, S., Su, L., Zhang, Y.","7401822800;12780712300;55272889300;","Nonparametric testing for anomaly effects in empirical asset pricing models",2015,"Empirical Economics","48","1",,"9","36",,2,"10.1007/s00181-014-0846-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939883709&doi=10.1007%2fs00181-014-0846-2&partnerID=40&md5=5f8945521f0da286633a73992d538fad",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84939883709
"Su, L., Yang, Z.","12780712300;7405435676;","QML estimation of dynamic panel data models with spatial errors",2015,"Journal of Econometrics","185","1",,"230","258",,57,"10.1016/j.jeconom.2014.11.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922559478&doi=10.1016%2fj.jeconom.2014.11.002&partnerID=40&md5=e84c0fed8c4aaecbdd3a5e45954631e9",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84922559478
"Lewbel, A., Lu, X., Su, L.","6602829966;55748131500;12780712300;","Specification testing for transformation models with an application to generalized accelerated failure-time models",2015,"Journal of Econometrics","184","1",,"81","96",,11,"10.1016/j.jeconom.2014.09.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84913529119&doi=10.1016%2fj.jeconom.2014.09.008&partnerID=40&md5=5ab9d2af5425dfde20e43afb4196f2cc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84913529119
"Qian, J., Su, L.","7402196282;12780712300;","Structural change estimation in time series regressions with endogenous variables",2014,"Economics Letters","125","3",,"415","421",,7,"10.1016/j.econlet.2014.10.021","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910014455&doi=10.1016%2fj.econlet.2014.10.021&partnerID=40&md5=506b1081edab32d42893545923bcb877",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84910014455
"Ozabaci, D., Henderson, D.J., Su, L.","56401101700;8572923500;12780712300;","Additive Nonparametric Regression in the Presence of Endogenous Regressors",2014,"Journal of Business and Economic Statistics","32","4",,"555","575",,12,"10.1080/07350015.2014.917590","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919666301&doi=10.1080%2f07350015.2014.917590&partnerID=40&md5=6ca8a96b4694df36e1d09376e6170ec3",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84919666301
"Jin, S., Su, L., Xiao, Z.","7401822800;12780712300;7402447103;","Adaptive nonparametric regression with conditional heteroskedasticity",2014,"Econometric Theory","760",,,"1153","1191",,3,"10.1017/S0266466614000450","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949775009&doi=10.1017%2fS0266466614000450&partnerID=40&md5=6cb9f3ae36d9af9862e5ce2172ef0068",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84949775009
"Jin, S., Su, L., Ullah, A.","7401822800;12780712300;7005349157;","Robustify Financial Time Series Forecasting with Bagging",2014,"Econometric Reviews","33","5-6",,"575","605",,15,"10.1080/07474938.2013.825142","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889260251&doi=10.1080%2f07474938.2013.825142&partnerID=40&md5=06de33f10d79692b2e666a391a8e566f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84889260251
